# TODO: Alphebatize this entire list.. yeah. good luck. But it matters.

#####################
# Special Countries #
#####################

REB = "countries/Rebels.txt"
PIR = "countries/Pirates.txt"
NAT = "countries/Natives.txt"
JMN = "countries/Jan Mayen.txt"
SYN = "countries/Synthetics.txt"

###################
# Roman Countries #
###################

ROM	= "countries/Rome.txt"
R1C = "countries/Caesar.txt"
R1O = "countries/Octavian.txt"
R1R = "countries/Liberators.txt"
R1A = "countries/MarcusAntonius.txt"
R1L = "countries/Lepid.txt"
RRS = "countries/SextusPompeius.txt"
ROI = "countries/RomanEmpire.txt"
RRO = "countries/Optimates.txt"
SRO = "countries/Serviles.txt"

####################
# Italic Countries #
####################

#Sardian and Corsica
BAL	= "countries/Balares.txt"
ILI	= "countries/Ilienses.txt"
SAR	= "countries/Sardinia.txt"
CRS	= "countries/Corsica.txt"
#Punic
LYL	= "countries/Lilybaion.txt"
KPR	= "countries/Kapara.txt"
ZIZ	= "countries/Ziz.txt"
OLS	= "countries/OlbiaSardinia.txt"
HD5 = "countries/Byt'n.txt"
JA9 = "countries/Karaly.txt"
DV1 = "countries/Tharros.txt"
#Greek
TAR	= "countries/Tarentum.txt"
MET	= "countries/Metapontion.txt"
HRC	= "countries/Heraclea.txt"
CRO	= "countries/Crotona.txt"
LOK	= "countries/Lokroi.txt"
SIP = "countries/Sipious.txt"
POS = "countries/Poseidonia.txt"
MHE	= "countries/MegaleHellas.txt"
SYR	= "countries/Syracus.txt"
HME	= "countries/Himera.txt"
KMR	= "countries/Kamarina.txt"
MSN	= "countries/Messana.txt"
AKR	= "countries/Akragas.txt"
SCI	= "countries/Sicily.txt"
RHE	= "countries/Rhegion.txt"
NPL = "countries/Neapel.txt"
ANC	= "countries/Ancona.txt"
ALE	= "countries/Alalia.txt"
#Etruscan
ETR	= "countries/Etruscans.txt"
ZTA = "countries/Tarchuna.txt"
ZVE = "countries/Veia.txt"
ZVL = "countries/Velch.txt"
ZVZ = "countries/Velzna.txt"
ZPU = "countries/Pupluna.txt"
ZPE = "countries/Perusna.txt"
ZVT = "countries/Velathri.txt"
ZRI = "countries/Arimna.txt"
ZAR = "countries/Aritim.txt"
CPU	= "countries/Capua.txt"
NUA = "countries/NuceriaAlfaterna.txt"

DAU	= "countries/Daunia.txt"
PTR	= "countries/Pentri.txt"
LCA	= "countries/Lucani.txt"
PSA	= "countries/Pisa.txt"
SAB	= "countries/Sabini.txt"
PIC	= "countries/Piceni.txt"
BRV	= "countries/Bruttii.txt"
ITA	= "countries/Italica.txt"
POA	= "countries/Poedicli.txt"
MSS	= "countries/Messapii.txt"
POM	= "countries/Pompeii.txt"
UMB	= "countries/Umbria.txt"
OEN	= "countries/Oenotria.txt"
SCC	= "countries/Sicels.txt"
SII	= "countries/Sicani.txt"
TA1 = "countries/Taurini.txt"
SA1 = "countries/Salassi.txt"
EP1 = "countries/Epantieri.txt"
ST1 = "countries/Statielli.txt"
