government = monarchy
add_government_reform = despotism_reform
government_rank = 3
#mercantilism = 0.25
technology_group = diadochi
primary_culture = macedon
religion = greek_religion
capital = 2500
#religious_school = hellenic_type

historical_rival = ANE
historical_rival = MAC
historical_rival = PTO

418.1.1 = {
	clear_scripted_personalities = yes
	add_ruler_personality = the_great_personality
	set_country_flag = alexander_is_ruler 
	add_army_professionalism = 0.5
	monarch = {
		name = "Alexander III the Great"
		dynasty = "Argead"
		birth_date = 401.7.20
		death_date = 431.1.1
		dip = 6
		adm = 6
		mil = 6
		leader = {
			name = "Alexander the Great" 
			type = general	
			fire = 8
			shock = 14
			manuever = 11
			siege = 4
		}
	}
	leader = { 
		name = "Ptolemaios"	
		type = general	
		fire = 7
		shock = 9
		manuever = 5
		siege = 1
		death_date = 431.6.10
	}
	leader = { 
		name = "Seleukos"	
		type = general	
		fire = 7
		shock = 9
		manuever = 4
		siege = 2
		death_date = 431.6.10
	}
	leader = { 
		name = "Antigonos"	
		type = general
		fire = 8
		shock = 8
		manuever = 4
		siege = 5
		death_date = 431.6.10
	}
}
425.1.1 = { government_rank = 4 }
430.1.1 = {
	add_accepted_culture = greek
	add_accepted_culture = persian
	add_accepted_culture = babylonian
	government_rank = 5
}
431.1.1 = {
	clear_scripted_personalities = yes
	##add_ruler_personality = diadochi_leader_personality
	clr_country_flag = alexander_is_ruler
	government_rank = 4
	add_army_professionalism = 0.4
}

431.1.1 = {
	government_rank = 4
	add_government_reform = satrap_diadochi_reform
	override_country_name = "PERDICCAS_BABYLONIA"
	monarch = {
		name = "Perdikkas (Regent)"
		dynasty = "Orestid"
		birth_date = 402.1.1
		death_date = 433.1.1
		culture = macedon
		religion = greek_religion		
		dip = 4
		adm = 4
		mil = 4
		regent = yes
		leader = {
			name = "Perdiccas" 
			type = general
			death_date = 433.1.1
			fire = 6
			shock = 6
			manuever = 4
			siege = 0
		}		
	} 
	heir = {
		name = "Alexander IV"
		dynasty = "Argead"
		birth_date = 431.1.1
		death_date = 445.1.1
		claim = 90
		adm = 1
		dip = 1
		mil = 1
	}
}

433.1.1 = {
	government_rank = 3
	override_country_name = "SELEUCOS_BABYLONIA"
	monarch = {
		name = "Seleukos"
		dynasty = "Seleucid"
		birth_date = 396.1.1
		culture = macedon
		religion = greek_religion
		dip = 4
		adm = 4
		mil = 5
		leader = { 
			name = "Seleukos"	
			type = general	
			fire = 7
			shock = 9
			manuever = 4
			siege = 2
			death_date = 431.1.1
		}
		queen = {
			country_of_origin = BAK
			name = "Apame"
			dynasty = "Spitamenea"
			culture = sogdian
			religion = zoroastrianism
			birth_date = 415.1.1
			death_date = 459.1.1
			female = yes
			adm = 2
			dip = 2
			mil = 2
		}
	}
}

439.1.1 = {
	restore_country_name = yes
	add_government_reform = assyrian_administration_reform
}
