native_size = 50
native_ferocity = 10
native_hostileness = 10
trade_goods = unknown
culture = blemmyes
religion = awsan_religion
hre = no
base_tax = 0
base_production = 0
base_manpower = 4
capital = ""

center_of_trade = 1
discovered_by = EGY
discovered_by = THB
discovered_by = MEM
#discovered_by = roman
#discovered_by = greek
discovered_by = punic
#discovered_by = diadochi
#discovered_by = iranian
#discovered_by = balkan
#discovered_by = north_african
#discovered_by = celtic
#discovered_by = germanic
#discovered_by = scythian_tech
#discovered_by = central_asian
#discovered_by = iberian
discovered_by = afro_arabian
#discovered_by = indian
#discovered_by = far_eastern
#discovered_by = central_asian
#discovered_by = caucaso_anatolian
#discovered_by = south_east_asian
#discovered_by = britannic
#discovered_by = korean
discovered_by = african

229.1.1 = {
	add_core = PSE
	owner = PSE
	controller = PSE
	discovered_by = PSE
	trade_goods = fish
	is_city = yes
}

350.1.1 = {
	owner = XXX
	controller = XXX
	remove_core = PSE
	trade_goods = unknown
	is_city = no
}

414.1.1 = {
	add_core = PSE
	owner = PSE
	controller = PSE
	trade_goods = fish
	is_city = yes
}

422.1.1 = {
	add_core = MAC
	owner = MAC
	controller = MAC
	remove_core = PSE
}

431.1.1 = {
	add_core = PTO
	owner = PTO
	controller = PTO
	remove_core = MAC
}

454.1.1 = {
	base_tax = 1
	base_production = 3
	base_manpower = 2

	small_city_walls = yes
	big_shipyard = yes
	big_harbor = yes
	small_temple = yes
	big_townhall = yes
	small_military_settlement = yes
	medium_market = yes
	paved_road = yes

	add_center_of_trade_level = 1

	add_permanent_province_modifier = {
		name = land_reclamation_2
		duration = -1
	}
}

638.1.1 = {
	owner = XXX
	controller = XXX
	trade_goods = unknown
	is_city = no
	remove_core = PTO
}

